v 0 121.5 324
v 1 279 336.5
v 2 88.5 281
v 3 121.5 281
v 4 391 279.5
v 5 389 328.5
v 6 431 329.5
v 7 433 280.5
v 8 440 413
v 9 440 457
v 10 398 413
v 11 398 457
v 12 132 415
v 13 132 459
v 14 81 416
v 15 81 460
v 16 88.5 324
v 17 336 336.5
v 18 335 293.5
v 19 278 293.5
e 0 16
e 2 16
e 0 12
e 14 16
e 12 16
e 5 10
e 6 8
e 5 8
e 0 3
e 3 16
e 1 19
e 0 1
e 3 19
e 2 3
e 0 19
e 17 18
e 1 17
e 18 19
e 1 18
e 5 6
e 4 5
e 4 7
e 6 7
e 5 7
e 4 18
e 5 17
e 4 17
e 8 9
e 10 11
e 8 10
e 9 11
e 9 10
e 12 13
e 10 12
e 11 13
e 11 12
e 14 15
e 12 14
e 13 15
e 13 14
