v 0 87.5 162
v 1 121.5 324
v 2 279 336.5
v 3 278 293.5
v 4 88.5 281
v 5 121.5 281
v 6 88.5 324
v 7 336 336.5
v 8 335 293.5
v 9 267.5 168
v 10 325.5 167
v 11 267.5 124
v 12 325.5 123
v 13 391 279.5
v 14 119 126
v 15 86 126
v 16 120.5 162
v 17 255.25 31
v 18 396 142.5
v 19 438 143.5
v 20 261.25 67
v 21 441 69
v 22 106.75 33
v 23 389 328.5
v 24 431 329.5
v 25 112.75 69
v 26 433 280.5
v 27 448 26
v 28 491 81
v 29 490 27
v 30 535.5 80
v 31 534.5 26
v 32 570.5 80
v 33 569.5 26
v 34 537.5 209
v 35 572.5 209
v 36 536.5 246
v 37 571.5 246
v 38 498.5 203.5
v 39 497.5 240.5
v 40 460.5 205.5
v 41 459.5 242.5
v 42 494 277
v 43 456 279
v 44 492 317
v 45 454 319
v 46 535.5 423
v 47 570.5 423
v 48 535.5 467
v 49 570.5 467
v 50 440 413
v 51 440 457
v 52 398 413
v 53 398 457
v 54 132 415
v 55 132 459
v 56 81 416
v 57 81 460
e 0 16
e 14 16
e 0 15
e 0 14
e 1 6
e 4 6
e 1 5
e 5 6
e 2 3
e 1 2
e 3 5
e 4 5
e 0 4
e 5 16
e 4 16
e 1 3
e 7 8
e 2 7
e 3 8
e 2 8
e 9 10
e 3 9
e 8 10
e 8 9
e 11 12
e 9 11
e 10 12
e 10 11
e 9 16
e 11 14
e 9 14
e 19 28
e 18 28
e 14 15
e 21 27
e 17 27
e 17 20
e 22 25
e 21 28
e 27 29
e 27 28
e 11 25
e 14 25
e 18 19
e 18 21
e 17 22
e 23 24
e 13 23
e 11 20
e 20 21
e 17 21
e 20 25
e 13 26
e 13 18
e 19 26
e 13 19
e 20 22
e 28 29
e 24 26
e 23 26
e 8 13
e 7 23
e 7 13
e 30 31
e 28 30
e 29 31
e 29 30
e 32 33
e 30 32
e 31 33
e 31 32
e 34 35
e 30 34
e 32 35
e 32 34
e 36 37
e 34 36
e 35 37
e 35 36
e 38 39
e 34 38
e 36 39
e 36 38
e 40 41
e 38 40
e 39 41
e 39 40
e 42 43
e 39 42
e 41 43
e 41 42
e 44 45
e 42 44
e 43 45
e 43 44
e 26 43
e 24 45
e 24 43
e 46 47
e 36 46
e 37 47
e 37 46
e 48 49
e 46 48
e 47 49
e 47 48
e 50 51
e 46 50
e 48 51
e 48 50
e 52 53
e 50 52
e 51 53
e 51 52
e 54 55
e 52 54
e 53 55
e 53 54
e 56 57
e 54 56
e 55 57
e 55 56
e 1 54
e 6 56
e 6 54
e 23 52
e 24 50
e 23 50
